Assembly_ID,Accession_Name,Accession_ID,Accession_alias,Original_Assembly_ID,Version,QC_pipeline,Final_assembly,TMP_comments,CSnumber,Latitude,Longitude,Altitude,Gaps,Sum,Largest,Pangenome_reference,Primary_Sequencing_Technology,Assembler,Individual_or_pool,Latest_released_Year,Published,Publication_First_author,Publication_year,Publication_Journal,Publication_DOI,Publication_URL,Best_unique_assembly
100069,BELC-C-12,22020,,,1.0,,,,,44.389212,2.336636,453.0,7.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100070,BELL-A-1,22021,,,1.0,,,,,43.790307,1.106456,229.0,13.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100071,BELL-A-7,22022,,,1.0,,,,,43.790307,1.106456,229.0,11.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100072,BOULO-A-1,22023,,,1.0,,,,,43.28908,0.639795,339.0,11.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100073,BOULO-A-16,22024,,,1.0,,,,,43.28908,0.639795,339.0,13.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100074,BROU-A-10,22025,,,1.0,,,,,43.999349,2.621684,281.0,1.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100075,BROU-A-2,22026,,,1.0,,,,,43.999349,2.621684,281.0,13.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100076,CAMA-C-2,22027,,,1.0,,,,,43.824878,2.881661,397.0,8.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100077,CAMA-C-9,22028,,,1.0,,,,,43.824878,2.881661,397.0,13.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100078,CARL-A-10,22029,,,1.0,,,,,43.151102,1.3923,385.0,7.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100079,CARL-A-16,22030,,,1.0,,,,,43.151102,1.3923,385.0,7.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100080,FERR-A-12,22031,,,1.0,,,,,43.657743,2.44371,541.0,6.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100081,FERR-A-8,22032,,,1.0,,,,,43.657743,2.44371,541.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100082,GAIL-B-11,22033,,,1.0,,,,,43.909032,1.901077,144.0,7.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100083,GAIL-B-9,22034,,,1.0,,,,,43.909032,1.901077,144.0,14.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100084,JUZE-A-2,22035,,,1.0,,,,,43.448838,1.79053,235.0,10.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100085,JUZE-A-3,22036,,,1.0,,,,,43.448838,1.79053,235.0,4.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100086,LACR-C-14,22037,,,1.0,,,,,43.000155,1.075624,493.0,7.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100087,LACR-C-4,22038,,,1.0,,,,,43.000155,1.075624,493.0,6.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100088,LANT-B-1,22039,,,1.0,,,,,43.564943,1.65239,246.0,4.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2024.0,no,Duflos,,unpublished,,,
100089,LANT-B-10,22040,,,1.0,,,,,43.564943,1.65239,246.0,5.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2024.0,no,Duflos,,unpublished,,,
100090,LUZE-A-12,22041,,,1.0,,,,,42.764683,1.752959,584.0,8.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100091,LUZE-A-14,22042,,,1.0,,,,,42.764683,1.752959,584.0,11.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100092,MERE-A-13,22043,,,1.0,,,,,42.656618,1.836221,1080.0,5.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100093,MERE-A-7,22044,,,1.0,,,,,42.656618,1.836221,1080.0,8.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100094,MONF-A-1,22045,,,1.0,,,,,43.616254,0.972435,209.0,6.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100095,MONF-A-14,22046,,,1.0,,,,,43.616254,0.972435,209.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100096,MONT-B-12,22047,,,1.0,,,,,43.852723,1.873536,156.0,10.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100097,MONT-B-14,22048,,,1.0,,,,,43.852723,1.873536,156.0,5.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100098,MONTM-B-16,22049,,,1.0,,,,,42.861218,0.596869,774.0,16.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100099,MONTM-B-7,22050,,,1.0,,,,,42.861218,0.596869,774.0,2.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100100,NAUV-B-14,22051,,,1.0,,,,,44.520418,2.427129,257.0,14.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100101,NAUV-B-7,22052,,,1.0,,,,,44.520418,2.427129,257.0,12.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100102,PREI-A-14,22053,,,1.0,,,,,43.717856,0.623298,120.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100103,PREI-A-9,22054,,,1.0,,,,,43.717856,0.623298,120.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100104,RAYR-A-17,22055,,,1.0,,,,,44.196005,2.493157,555.0,15.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100105,RAYR-A-9,22056,,,1.0,,,,,44.196005,2.493157,555.0,13.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100106,SALE-A-10,22057,,,1.0,,,,,43.024966,0.965965,413.0,3.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100107,SALE-A-17,22058,,,1.0,,,,,43.024966,0.965965,413.0,10.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100108,IP-Alo-0,9506,,,1.0,,,,CS76662,40.109691,-7.476146,763.0,6.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100109,IP-Alo-19,22059,,,1.0,,,,,40.109691,-7.476146,763.0,8.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100110,IP-Cas-0,9831,,,1.0,,,,CS76743,38.534077,-3.39072,811.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100111,IP-Cas-6,22060,,,1.0,,,,,38.534077,-3.39072,811.0,5.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Individual,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
